[12:42:47] [INFO] received Windows console close event; shutting log-core down
[22:57:43] [INFO] received Windows console close event; shutting log-core down
[23:11:30] [INFO] received Windows console close event; shutting log-core down
[00:27:08] [INFO] received Windows console close event; shutting log-core down
[14:55:09] [INFO] received Windows console close event; shutting log-core down
[14:55:52] [INFO] received Windows console close event; shutting log-core down
[14:57:11] [INFO] received Windows console close event; shutting log-core down
[10:54:53] [INFO] received Windows console close event; shutting log-core down
[11:07:25] [INFO] received Windows console close event; shutting log-core down
[11:08:52] [INFO] received Windows console close event; shutting log-core down
[11:41:00] [INFO] received Windows console close event; shutting log-core down
[21:59:20] [INFO] received Windows console close event; shutting log-core down
[22:13:32] [INFO] received Windows console close event; shutting log-core down
[23:14:49] [INFO] received Windows console close event; shutting log-core down
[22:19:58] [INFO] received Windows console close event; shutting log-core down
[23:41:28] [INFO] received Windows console close event; shutting log-core down
[23:40:21] [INFO] received Windows console close event; shutting log-core down
[12:34:02] [INFO] received Windows console close event; shutting log-core down
[18:06:16] [INFO] received Windows console close event; shutting log-core down
[22:01:36] [INFO] received Windows console close event; shutting log-core down
[22:02:17] [INFO] received Windows console close event; shutting log-core down
[18:31:22] [INFO] received Windows console close event; shutting log-core down
[18:51:25] [INFO] received Windows console close event; shutting log-core down
[18:52:17] [INFO] received Windows console close event; shutting log-core down
[18:52:50] [INFO] received Windows console close event; shutting log-core down
[18:52:54] [INFO] received Windows console close event; shutting log-core down
[18:53:31] [INFO] received Windows console close event; shutting log-core down
[18:54:16] [INFO] received Windows console close event; shutting log-core down
[18:54:24] [INFO] received Windows console close event; shutting log-core down
[19:01:31] [INFO] received Windows console close event; shutting log-core down
[16:31:12] [INFO] received Windows console close event; shutting log-core down
[17:45:08] [INFO] received Windows console close event; shutting log-core down
[21:23:23] [INFO] received Windows console close event; shutting log-core down
[16:12:01] [INFO] received Windows console close event; shutting log-core down
[16:13:00] [INFO] received Windows console close event; shutting log-core down
[16:17:39] [INFO] received Windows console close event; shutting log-core down
[16:33:42] [INFO] received Windows console close event; shutting log-core down
[16:57:28] [INFO] received Windows console close event; shutting log-core down
[18:00:19] [INFO] received Windows console close event; shutting log-core down
[21:21:05] [INFO] received Windows console close event; shutting log-core down
[21:32:05] [INFO] received Windows console close event; shutting log-core down
[21:33:03] [INFO] received Windows console close event; shutting log-core down
[22:05:36] [INFO] received Windows console close event; shutting log-core down
[21:35:53] [INFO] received Windows console close event; shutting log-core down
[22:18:42] [INFO] received Windows console close event; shutting log-core down
[22:35:32] [INFO] received Windows console close event; shutting log-core down
[19:02:03] [INFO] received Windows console close event; shutting log-core down
[19:49:36] [INFO] received Windows console close event; shutting log-core down
[19:49:56] [INFO] received Windows console close event; shutting log-core down
[19:50:01] [INFO] received Windows console close event; shutting log-core down
[19:50:05] [INFO] received Windows console close event; shutting log-core down
[19:51:33] [INFO] received Windows console close event; shutting log-core down
[19:52:06] [INFO] received Windows console close event; shutting log-core down
[19:52:45] [INFO] received Windows console close event; shutting log-core down
[19:54:46] [INFO] received Windows console close event; shutting log-core down
[19:54:49] [INFO] received Windows console close event; shutting log-core down
[20:24:06] [INFO] received Windows console close event; shutting log-core down
[20:24:14] [INFO] received Windows console close event; shutting log-core down
[20:24:56] [INFO] received Windows console close event; shutting log-core down
[15:28:22] [INFO] received Windows console close event; shutting log-core down
[16:14:55] [INFO] received Windows console close event; shutting log-core down
